"","ERR","IP","REF","SID","UID","LOC","TM","URL","DUR","BT","BL","LT","VID","CDNID","NETNAME"
"11","309002009","84.143.123.30","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fcyw%2Findex.shtml%3F_v_rec1%23013272d5-5c18-4532-833a-726eda4588e2","#","1389310868304_kigodm1285","ips.ifeng.com","2015-05-31 05:00:024","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F29%2F3348486-102-008-2334.mp4",120,9034455,1230038,114225,"vNsPlayer_nsvp1.0.18","#","#"
"12","304003","84.143.123.30","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fcyw%2Findex.shtml%3F_v_rec1%23013272d5-5c18-4532-833a-726eda4588e2","#","1389310868304_kigodm1285","ips.ifeng.com","2015-05-31 05:00:027","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F29%2F3348486-102-008-2334.mp4",120,9034455,1246982,116437,"vNsPlayer_nsvp1.0.18","#","#"
"13","302000","106.37.177.106","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fnanhaijingjie%2Findex.shtml%2301a986e9-9f8e-4066-a0ff-cf372b294d38","#","1408686863467_ujmu2x3538","ips.ifeng.com","2015-05-31 05:57:040","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F30%2F3348806-102-0810.mp4",77,6726939,50846,375,"vNsPlayer_nsvp1.0.18","#","#"
"14","303000","106.37.177.106","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fnanhaijingjie%2Findex.shtml%2301a986e9-9f8e-4066-a0ff-cf372b294d38","#","1408686863467_ujmu2x3538","ips.ifeng.com","2015-05-31 05:57:040","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F30%2F3348806-102-0810.mp4",77,6726939,258166,750,"vNsPlayer_nsvp1.0.18","#","#"
"15","5000000","106.37.177.106","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fnanhaijingjie%2Findex.shtml%2301a986e9-9f8e-4066-a0ff-cf372b294d38","#","1408686863467_ujmu2x3538","ips.ifeng.com","2015-05-31 05:57:042","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F30%2F3348806-102-0810.mp4",77,6726939,850926,2047,"vNsPlayer_nsvp1.0.18","#","#"
"16","5000005","106.37.177.106","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fnanhaijingjie%2Findex.shtml%2301a986e9-9f8e-4066-a0ff-cf372b294d38","#","1408686863467_ujmu2x3538","ips.ifeng.com","2015-05-31 05:57:046","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F30%2F3348806-102-0810.mp4",77,6726939,2409820,6516,"vNsPlayer_nsvp1.0.18","#","#"
"17","601000","106.37.177.106","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fnanhaijingjie%2Findex.shtml%2301a986e9-9f8e-4066-a0ff-cf372b294d38","#","1408686863467_ujmu2x3538","ips.ifeng.com","2015-05-31 05:57:046","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F30%2F3348806-102-0810.mp4",77,6726939,2409820,6532,"vNsPlayer_nsvp1.0.18","#","#"
"18","602000","106.37.177.106","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fnanhaijingjie%2Findex.shtml%2301a986e9-9f8e-4066-a0ff-cf372b294d38","#","1408686863467_ujmu2x3538","ips.ifeng.com","2015-05-31 05:57:046","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F30%2F3348806-102-0810.mp4",77,6726939,2409820,6532,"vNsPlayer_nsvp1.0.18","#","#"
"19","109395","120.203.227.222","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Fzyjbd%2Findex.shtml%3F_v_www4%2301b7eb5d-a530-40dd-9860-02b137128cdc","#","1419469414833_k0a9o7268","#","2015-05-31 05:44:056","#",0,0,0,0,"vNsPlayer_nsvp1.0.18","#","#"
"20","100000","120.203.227.222","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Fzyjbd%2Findex.shtml%3F_v_www4%2301b7eb5d-a530-40dd-9860-02b137128cdc","#","1419469414833_k0a9o7268","#","2015-05-31 05:44:057","#",0,0,0,0,"vNsPlayer_nsvp1.0.18","#","#"
"21","3000000","120.203.227.222","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Fzyjbd%2Findex.shtml%3F_v_www4%2301b7eb5d-a530-40dd-9860-02b137128cdc","#","1419469414833_k0a9o7268","#","2015-05-31 05:44:057","#",0,0,0,0,"vNsPlayer_nsvp1.0.18","#","#"
"22","4000001","120.203.227.222","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Fzyjbd%2Findex.shtml%3F_v_www4%2301b7eb5d-a530-40dd-9860-02b137128cdc","#","1419469414833_k0a9o7268","ips.ifeng.com","2015-05-31 05:45:008","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F06%2F01%2F3351578-102-008-0755.mp4",56,0,0,3120,"vNsPlayer_nsvp1.0.18","#","#"
"23","408000","120.203.227.222","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Fzyjbd%2Findex.shtml%3F_v_www4%2301b7eb5d-a530-40dd-9860-02b137128cdc","#","1419469414833_k0a9o7268","ips.ifeng.com","2015-05-31 05:45:012","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F06%2F01%2F3351578-102-008-0755.mp4",56,0,0,7759,"vNsPlayer_nsvp1.0.18","#","#"
"24","302000","120.203.227.222","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Fzyjbd%2Findex.shtml%3F_v_www4%2301b7eb5d-a530-40dd-9860-02b137128cdc","#","1419469414833_k0a9o7268","ips.ifeng.com","2015-05-31 05:45:017","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F06%2F01%2F3351578-102-008-0755.mp4",56,4230390,64146,12845,"vNsPlayer_nsvp1.0.18","#","#"
"25","20315","120.203.227.222","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Fzyjbd%2Findex.shtml%3F_v_www4%2301b7eb5d-a530-40dd-9860-02b137128cdc","#","1419469414833_k0a9o7268","ips.ifeng.com","2015-05-31 05:45:019","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F06%2F01%2F3351578-102-008-0755.mp4",56,4230390,173346,14437,"vNsPlayer_nsvp1.0.18","#","#"
"26","303000","120.203.227.222","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Fzyjbd%2Findex.shtml%3F_v_www4%2301b7eb5d-a530-40dd-9860-02b137128cdc","#","1419469414833_k0a9o7268","ips.ifeng.com","2015-05-31 05:45:019","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F06%2F01%2F3351578-102-008-0755.mp4",56,4230390,173346,14538,"vNsPlayer_nsvp1.0.18","#","#"
"27","204000","120.203.227.222","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Fzyjbd%2Findex.shtml%3F_v_www4%2301b7eb5d-a530-40dd-9860-02b137128cdc","#","1419469414833_k0a9o7268","ips.ifeng.com","2015-05-31 05:45:021","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F06%2F01%2F3351578-102-008-0755.mp4",56,4230390,173346,16365,"vNsPlayer_nsvp1.0.18","#","#"
"28","102010","120.203.227.222","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Fzyjbd%2Findex.shtml%3F_v_www4%2301b7eb5d-a530-40dd-9860-02b137128cdc","#","1419469414833_k0a9o7268","ips.ifeng.com","2015-05-31 05:45:024","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F06%2F01%2F3351578-102-008-0755.mp4",56,4230390,173346,19400,"vNsPlayer_nsvp1.0.18","#","#"
"29","304001","120.203.227.222","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Fzyjbd%2Findex.shtml%3F_v_www4%2301b7eb5d-a530-40dd-9860-02b137128cdc","#","1419469414833_k0a9o7268","ips.ifeng.com","2015-05-31 05:45:025","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F06%2F01%2F3351578-102-008-0755.mp4",56,4230390,173346,20048,"vNsPlayer_nsvp1.0.18","#","#"
"30","309001007","120.203.227.222","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Fzyjbd%2Findex.shtml%3F_v_www4%2301b7eb5d-a530-40dd-9860-02b137128cdc","#","1419469414833_k0a9o7268","ips.ifeng.com","2015-05-31 05:45:032","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F06%2F01%2F3351578-102-008-0755.mp4",56,4230390,515394,27068,"vNsPlayer_nsvp1.0.18","#","#"
"31","100000","120.203.227.222","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Fzyjbd%2Findex.shtml%3F_v_www4%2301b7eb5d-a530-40dd-9860-02b137128cdc","#","1419469414833_k0a9o7268","ips.ifeng.com","2015-05-31 05:46:024","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F06%2F01%2F3351578-102-008-0755.mp4",0,4230390,4230390,79608,"vNsPlayer_nsvp1.0.18","#","#"
"32","305000","120.203.227.222","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Fzyjbd%2Findex.shtml%3F_v_www4%2301b7eb5d-a530-40dd-9860-02b137128cdc","#","1419469414833_k0a9o7268","ips.ifeng.com","2015-05-31 05:46:024","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F06%2F01%2F3351578-102-008-0755.mp4",0,4230390,4230390,79608,"vNsPlayer_nsvp1.0.18","#","#"
"33","307000","120.203.227.222","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Fzyjbd%2Findex.shtml%3F_v_www4%2301b7eb5d-a530-40dd-9860-02b137128cdc","#","1419469414833_k0a9o7268","ips.ifeng.com","2015-05-31 05:46:024","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F06%2F01%2F3351578-102-008-0755.mp4",56,4230390,4230390,79608,"vNsPlayer_nsvp1.0.18","#","#"
"34","204000","120.203.227.222","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Fzyjbd%2Findex.shtml%3F_v_www4%2301b7eb5d-a530-40dd-9860-02b137128cdc","#","1419469414833_k0a9o7268","ips.ifeng.com","2015-05-31 05:46:025","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F06%2F01%2F3351578-102-008-0755.mp4",0,0,0,79608,"vNsPlayer_nsvp1.0.18","#","#"
"35","204000","120.203.227.222","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Fzyjbd%2Findex.shtml%3F_v_www4%2301b7eb5d-a530-40dd-9860-02b137128cdc","#","1419469414833_k0a9o7268","ips.ifeng.com","2015-05-31 05:46:025","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F06%2F01%2F3351578-102-008-0755.mp4",0,0,0,79608,"vNsPlayer_nsvp1.0.18","#","#"
"36","302000","218.29.238.46","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Ffbblc%2Findex.shtml%23019d2693-bd0c-4ef1-9ed6-177900c8b878","#","1422411280321_1980","119.167.138.69","2015-05-31 05:00:044","http%3A%2F%2F119.167.138.69%2Fdata5%2Fvideo09%2F2015%2F05%2F29%2F3347689-102-086-1538.mp4%3Ftime%3D1433115923367",243,33196709,10350624,87629,"vNsPlayer_nsvp1.0.18","#","#"
"37","303000","218.29.238.46","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Ffbblc%2Findex.shtml%23019d2693-bd0c-4ef1-9ed6-177900c8b878","#","1422411280321_1980","119.167.138.69","2015-05-31 05:00:045","http%3A%2F%2F119.167.138.69%2Fdata5%2Fvideo09%2F2015%2F05%2F29%2F3347689-102-086-1538.mp4%3Ftime%3D1433115923367",243,33196709,10490700,89230,"vNsPlayer_nsvp1.0.18","#","#"
"38","402000","218.29.238.46","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Ffbblc%2Findex.shtml%23019d2693-bd0c-4ef1-9ed6-177900c8b878","#","1422411280321_1980","119.167.138.69","2015-05-31 05:03:013","http%3A%2F%2F119.167.138.69%2Fdata5%2Fvideo09%2F2015%2F05%2F29%2F3347689-102-086-1538.mp4%3Ftime%3D1433115923367",243,33196709,31126880,237400,"vNsPlayer_nsvp1.0.18","#","#"
"39","100000","114.83.122.88","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%3F_v_rec2%2301e09475-6eb3-4f18-9142-b7e75e3f5a80","#","1426850981225_wrfk7k2784","#","2015-05-31 05:18:048","#",0,0,0,0,"vNsPlayer_nsvp1.0.18","#","#"
"40","109466","114.83.122.88","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%3F_v_rec2%2301e09475-6eb3-4f18-9142-b7e75e3f5a80","#","1426850981225_wrfk7k2784","#","2015-05-31 05:18:048","#",0,0,0,0,"vNsPlayer_nsvp1.0.18","#","#"
"41","20315","114.83.122.88","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%3F_v_rec2%2301e09475-6eb3-4f18-9142-b7e75e3f5a80","#","1426850981225_wrfk7k2784","#","2015-05-31 05:18:048","#",0,0,0,0,"vNsPlayer_nsvp1.0.18","#","#"
"42","208015","114.83.122.88","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%3F_v_rec2%2301e09475-6eb3-4f18-9142-b7e75e3f5a80","#","1426850981225_wrfk7k2784","#","2015-05-31 05:18:048","#",0,0,0,0,"vNsPlayer_nsvp1.0.18","#","#"
"43","3000000","114.83.122.88","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%3F_v_rec2%2301e09475-6eb3-4f18-9142-b7e75e3f5a80","#","1426850981225_wrfk7k2784","#","2015-05-31 05:18:048","#",0,0,0,0,"vNsPlayer_nsvp1.0.18","#","#"
"44","3000001","114.83.122.88","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%3F_v_rec2%2301e09475-6eb3-4f18-9142-b7e75e3f5a80","#","1426850981225_wrfk7k2784","#","2015-05-31 05:18:048","#",0,0,0,0,"vNsPlayer_nsvp1.0.18","#","#"
"45","4000000","114.83.122.88","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%3F_v_rec2%2301e09475-6eb3-4f18-9142-b7e75e3f5a80","#","1426850981225_wrfk7k2784","#","2015-05-31 05:18:048","#",0,0,0,0,"vNsPlayer_nsvp1.0.18","#","#"
"46","4000004","114.83.122.88","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%3F_v_rec2%2301e09475-6eb3-4f18-9142-b7e75e3f5a80","#","1426850981225_wrfk7k2784","#","2015-05-31 05:18:048","#",0,0,0,0,"vNsPlayer_nsvp1.0.18","#","#"
"47","20315","114.83.122.88","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%3F_v_rec2%2301e09475-6eb3-4f18-9142-b7e75e3f5a80","#","1426850981225_wrfk7k2784","#","2015-05-31 05:18:049","#",0,0,0,0,"vNsPlayer_nsvp1.0.18","#","#"
"48","20315","114.83.122.88","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%3F_v_rec2%2301e09475-6eb3-4f18-9142-b7e75e3f5a80","#","1426850981225_wrfk7k2784","#","2015-05-31 05:18:049","#",0,0,0,0,"vNsPlayer_nsvp1.0.18","#","#"
"49","302000","114.83.122.88","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%3F_v_rec2%2301e09475-6eb3-4f18-9142-b7e75e3f5a80","#","1426850981225_wrfk7k2784","ips.ifeng.com","2015-05-31 05:19:025","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F30%2F3349831-102-008-2017.mp4",167,8721808,93522,231,"vNsPlayer_nsvp1.0.18","#","#"
"50","303000","114.83.122.88","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%3F_v_rec2%2301e09475-6eb3-4f18-9142-b7e75e3f5a80","#","1426850981225_wrfk7k2784","ips.ifeng.com","2015-05-31 05:19:025","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F30%2F3349831-102-008-2017.mp4",167,8721808,1032224,1006,"vNsPlayer_nsvp1.0.18","#","#"
"51","402000","114.83.122.88","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%3F_v_rec2%2301e09475-6eb3-4f18-9142-b7e75e3f5a80","#","1426850981225_wrfk7k2784","ips.ifeng.com","2015-05-31 05:19:028","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F30%2F3349831-102-008-2017.mp4",167,8721808,1138720,3847,"vNsPlayer_nsvp1.0.18","#","#"
"52","401000","114.83.122.88","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%3F_v_rec2%2301e09475-6eb3-4f18-9142-b7e75e3f5a80","#","1426850981225_wrfk7k2784","ips.ifeng.com","2015-05-31 05:19:030","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F30%2F3349831-102-008-2017.mp4",167,8721808,1167392,5631,"vNsPlayer_nsvp1.0.18","#","#"
"53","404002","114.83.122.88","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%3F_v_rec2%2301e09475-6eb3-4f18-9142-b7e75e3f5a80","#","1426850981225_wrfk7k2784","ips.ifeng.com","2015-05-31 05:19:036","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F30%2F3349831-102-008-2017.mp4",167,8721808,1400864,11351,"vNsPlayer_nsvp1.0.18","#","#"
"54","100000","114.83.122.88","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%3F_v_rec2%2301e09475-6eb3-4f18-9142-b7e75e3f5a80","#","1426850981225_wrfk7k2784","ips.ifeng.com","2015-05-31 05:22:015","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F30%2F3349831-102-008-2017.mp4",0,8721808,8721808,170512,"vNsPlayer_nsvp1.0.18","#","#"
"55","204000","114.83.122.88","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%3F_v_rec2%2301e09475-6eb3-4f18-9142-b7e75e3f5a80","#","1426850981225_wrfk7k2784","ips.ifeng.com","2015-05-31 05:22:015","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F30%2F3349831-102-008-2017.mp4",0,0,0,170512,"vNsPlayer_nsvp1.0.18","#","#"
"56","204000","114.83.122.88","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%3F_v_rec2%2301e09475-6eb3-4f18-9142-b7e75e3f5a80","#","1426850981225_wrfk7k2784","ips.ifeng.com","2015-05-31 05:22:015","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F30%2F3349831-102-008-2017.mp4",0,0,0,170512,"vNsPlayer_nsvp1.0.18","#","#"
"57","305000","114.83.122.88","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%3F_v_rec2%2301e09475-6eb3-4f18-9142-b7e75e3f5a80","#","1426850981225_wrfk7k2784","ips.ifeng.com","2015-05-31 05:22:015","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F30%2F3349831-102-008-2017.mp4",0,8721808,8721808,170512,"vNsPlayer_nsvp1.0.18","#","#"
"58","307000","114.83.122.88","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%3F_v_rec2%2301e09475-6eb3-4f18-9142-b7e75e3f5a80","#","1426850981225_wrfk7k2784","ips.ifeng.com","2015-05-31 05:22:015","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F30%2F3349831-102-008-2017.mp4",167,8721808,8721808,170512,"vNsPlayer_nsvp1.0.18","#","#"
"59","404002","114.83.122.88","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%3F_v_rec2%2301e09475-6eb3-4f18-9142-b7e75e3f5a80","#","1426850981225_wrfk7k2784","ips.ifeng.com","2015-05-31 05:22:015","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F30%2F3349831-102-008-2017.mp4",0,0,0,170512,"vNsPlayer_nsvp1.0.18","#","#"
"60","100000","114.83.122.88","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%3F_v_rec2%2301e09475-6eb3-4f18-9142-b7e75e3f5a80","#","1426850981225_wrfk7k2784","ips.ifeng.com","2015-05-31 05:26:013","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F30%2F3349831-102-008-2017.mp4",0,0,0,170512,"vNsPlayer_nsvp1.0.18","#","#"
"61","20315","114.83.122.88","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%3F_v_rec2%2301e09475-6eb3-4f18-9142-b7e75e3f5a80","#","1426850981225_wrfk7k2784","ips.ifeng.com","2015-05-31 05:26:013","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F30%2F3349831-102-008-2017.mp4",0,0,0,170512,"vNsPlayer_nsvp1.0.18","#","#"
