ITEM_ID,SIM_SCORE,HOT_LEVEL,CATEGORY,P_ID
"item170","1","10","4","4103"
"item171","2","2","0","4104"
"item172","3","3","1","4105"
"item173","4","4","2","4106"
"item174","5","5","3","4107"
"item175","6","6","4","4108"
"item176","7","7","0","4109"
"item177","8","8","1","4110"
"item178","9","9","2","4111"
"item179","1","10","3","4112"
"item180","2","2","4","4113"
"item181","3","3","0","4114"
"item182","4","4","1","4115"
"item183","5","5","2","4116"
"item184","6","6","3","4117"
"item185","7","7","4","4118"
"item186","8","8","0","4119"
"item187","9","9","1","4120"
"item188","1","10","2","4121"
"item189","2","2","3","4122"
"item190","3","3","4","4123"
"item191","4","4","0","4124"
"item192","5","5","1","4125"
"item193","6","6","2","4126"
"item194","7","7","3","4127"
"item195","8","8","4","4128"
"item196","9","9","0","4129"
"item197","1","10","1","4130"
"item198","2","2","2","4131"
"item199","3","3","3","4132"
"item200","4","4","4","4133"
"item201","5","5","0","4134"
"item202","6","6","1","4135"
"item203","7","7","2","4136"
"item204","8","8","3","4137"
"item205","9","9","4","4138"
"item206","1","10","0","4139"
"item207","2","2","1","4140"
"item208","3","3","2","4141"
"item209","4","4","3","4142"
"item210","5","5","4","4143"
"item211","6","6","0","4144"
"item212","7","7","1","4145"
"item213","8","8","2","4146"
"item214","9","9","3","4147"
"item215","1","10","4","4148"
"item216","2","2","0","4149"
"item217","3","3","1","4150"
"item218","4","4","2","4151"
"item219","5","5","3","4152"
"item220","6","6","4","4153"
"item221","7","7","0","4154"
"item222","8","8","1","4155"
"item223","9","9","2","4156"
"item224","1","10","3","4157"
"item225","2","2","4","4158"
"item226","3","3","0","4159"
"item227","4","4","1","4160"
"item228","5","5","2","4161"
"item229","6","6","3","4162"
"item230","7","7","4","4163"
"item231","8","8","0","4164"
"item232","9","9","1","4165"
"item233","1","10","2","4166"
"item234","2","2","3","4167"
"item235","3","3","4","4168"
"item236","4","4","0","4169"
"item237","5","5","1","4170"
"item238","6","6","2","4171"
"item239","7","7","3","4172"
"item240","8","8","4","4173"
"item241","9","9","0","4174"
"item242","1","10","1","4175"
"item243","2","2","2","4176"
"item244","3","3","3","4177"
"item245","4","4","4","4178"
"item246","5","5","0","4179"
"item247","6","6","1","4180"
"item248","7","7","2","4181"
"item249","8","8","3","4182"
"item250","9","9","4","4183"
"item251","1","10","0","4184"
"item252","2","2","1","4185"
"item253","3","3","2","4186"
"item254","4","4","3","4187"
"item255","5","5","4","4188"
"item256","6","6","0","4189"
"item257","7","7","1","4190"
"item258","8","8","2","4191"
"item259","9","9","3","4192"
"item260","1","10","4","4193"
"item261","2","2","0","4194"
"item262","3","3","1","4195"
"item263","4","4","2","4196"
"item264","5","5","3","4197"
"item265","6","6","4","4198"
"item266","7","7","0","4199"
"item267","8","8","1","4200"
"item268","9","9","2","4201"
"item269","1","10","3","4202"
"item270","2","2","4","4203"
"item271","3","3","0","4204"
"item272","4","4","1","4205"
"item273","5","5","2","4206"
"item274","6","6","3","4207"
"item275","7","7","4","4208"
"item276","8","8","0","4209"
"item277","9","9","1","4210"
"item278","1","10","2","4211"
"item279","2","2","3","4212"
"item280","3","3","4","4213"
"item281","4","4","0","4214"
"item282","5","5","1","4215"
"item283","6","6","2","4216"
"item284","7","7","3","4217"
"item285","8","8","4","4218"
"item286","9","9","0","4219"
"item287","1","10","1","4220"
"item288","2","2","2","4221"
"item289","3","3","3","4222"
"item290","4","4","4","4223"
"item291","5","5","0","4224"
"item292","6","6","1","4225"
"item293","7","7","2","4226"
"item294","8","8","3","4227"
"item295","9","9","4","4228"
"item296","1","10","0","4229"
"item297","2","2","1","4230"
"item298","3","3","2","4231"
"item299","4","4","3","4232"
"item300","5","5","4","4233"
"item301","6","6","0","4234"
"item302","7","7","1","4235"
"item303","8","8","2","4236"
"item304","9","9","3","4237"
"item305","1","10","4","4238"
"item306","2","2","0","4239"
"item307","3","3","1","4240"
"item308","4","4","2","4241"
"item309","5","5","3","4242"
"item310","6","6","4","4243"
"item311","7","7","0","4244"
"item312","8","8","1","4245"
"item313","9","9","2","4246"
"item314","1","10","3","4247"
"item315","2","2","4","4248"
"item316","3","3","0","4249"
"item317","4","4","1","4250"
"item318","5","5","2","4251"
"item319","6","6","3","4252"
"item320","7","7","4","4253"
"item321","8","8","0","4254"
"item322","9","9","1","4255"
"item323","1","10","2","4256"
"item324","2","2","3","4257"
"item325","3","3","4","4258"
"item326","4","4","0","4259"
"item327","5","5","1","4260"
"item328","6","6","2","4261"
"item329","7","7","3","4262"
"item330","8","8","4","4263"
"item331","9","9","0","4264"
"item332","1","10","1","4265"
"item333","2","2","2","4266"
"item334","3","3","3","4267"
"item335","4","4","4","4268"
"item336","5","5","0","4269"
"item337","6","6","1","4270"
"item338","7","7","2","4271"
"item339","8","8","3","4272"
"item340","9","9","4","4273"
"item341","1","10","0","4274"
"item342","2","2","1","4275"
"item343","3","3","2","4276"
"item344","4","4","3","4277"
"item345","5","5","4","4278"
"item346","6","6","0","4279"
"item347","7","7","1","4280"
"item348","8","8","2","4281"
"item349","9","9","3","4282"
"item350","1","10","4","4283"
"item351","2","2","0","4284"
"item352","3","3","1","4285"
"item353","4","4","2","4286"
"item354","5","5","3","4287"
"item355","6","6","4","4288"
"item356","7","7","0","4289"
"item357","8","8","1","4290"
"item358","9","9","2","4291"
"item359","1","10","3","4292"
"item360","2","2","4","4293"
"item361","3","3","0","4294"
"item362","4","4","1","4295"
"item363","5","5","2","4296"
"item364","6","6","3","4297"
"item365","7","7","4","4298"
"item366","8","8","0","4299"
"item367","9","9","1","4300"
"item368","1","10","2","4301"
"item369","2","2","3","4302"
"item370","3","3","4","4303"
"item371","4","4","0","4304"
"item372","5","5","1","4305"
"item373","6","6","2","4306"
"item374","7","7","3","4307"
"item375","8","8","4","4308"
"item376","9","9","0","4309"
"item377","1","10","1","4310"
"item378","2","2","2","4311"
"item379","3","3","3","4312"
"item380","4","4","4","4313"
"item381","5","5","0","4314"
"item382","6","6","1","4315"
"item383","7","7","2","4316"
"item384","8","8","3","4317"
"item385","9","9","4","4318"
"item386","1","10","0","4319"
"item387","2","2","1","4320"
"item388","3","3","2","4321"
"item389","4","4","3","4322"
"item390","5","5","4","4323"
"item391","6","6","0","4324"
"item392","7","7","1","4325"
"item393","8","8","2","4326"
"item394","9","9","3","4327"
"item395","1","10","4","4328"
"item396","2","2","0","4329"
"item397","3","3","1","4330"
"item398","4","4","2","4331"
"item399","5","5","3","4332"
"item400","6","6","4","4333"
"item401","7","7","0","4334"
"item402","8","8","1","4335"
"item403","9","9","2","4336"
"item404","1","10","3","4337"
"item405","2","2","4","4338"
"item406","3","3","0","4339"
"item407","4","4","1","4340"
"item408","5","5","2","4341"
"item409","6","6","3","4342"
"item410","7","7","4","4343"
"item411","8","8","0","4344"
"item412","9","9","1","4345"
"item413","1","10","2","4346"
"item414","2","2","3","4347"
"item415","3","3","4","4348"
"item416","4","4","0","4349"
"item417","5","5","1","4350"
"item418","6","6","2","4351"
"item419","7","7","3","4352"
"item420","8","8","4","4353"
"item421","9","9","0","4354"
"item422","1","10","1","4355"
"item423","2","2","2","4356"
"item424","3","3","3","4357"
"item425","4","4","4","4358"
"item426","5","5","0","4359"
"item427","6","6","1","4360"
"item428","7","7","2","4361"
"item429","8","8","3","4362"
"item430","9","9","4","4363"
"item431","1","10","0","4364"
"item432","2","2","1","4365"
"item433","3","3","2","4366"
"item434","4","4","3","4367"
"item435","5","5","4","4368"
"item436","6","6","0","4369"
"item437","7","7","1","4370"
"item438","8","8","2","4371"
"item439","9","9","3","4372"
"item440","1","10","4","4373"
"item441","2","2","0","4374"
"item442","3","3","1","4375"
"item443","4","4","2","4376"
"item444","5","5","3","4377"
"item445","6","6","4","4378"
"item446","7","7","0","4379"
"item447","8","8","1","4380"
"item448","9","9","2","4381"
"item449","1","10","3","4382"
"item450","2","2","4","4383"
"item451","3","3","0","4384"
"item452","4","4","1","4385"
"item453","5","5","2","4386"
"item454","6","6","3","4387"
"item455","7","7","4","4388"
"item456","8","8","0","4389"
"item457","9","9","1","4390"
"item458","1","10","2","4391"
"item459","2","2","3","4392"
"item460","3","3","4","4393"
"item461","4","4","0","4394"
"item462","5","5","1","4395"
"item463","6","6","2","4396"
"item464","7","7","3","4397"
"item465","8","8","4","4398"
"item466","9","9","0","4399"
"item467","1","10","1","4400"
"item468","2","2","2","4401"
"item469","3","3","3","4402"
"item470","4","4","4","4403"
"item471","5","5","0","4404"
"item472","6","6","1","4405"
"item473","7","7","2","4406"
"item474","8","8","3","4407"
"item475","9","9","4","4408"
"item476","1","10","0","4409"
"item477","2","2","1","4410"
"item478","3","3","2","4411"
"item479","4","4","3","4412"
"item480","5","5","4","4413"
"item481","6","6","0","4414"
"item482","7","7","1","4415"
"item483","8","8","2","4416"
"item484","9","9","3","4417"
"item485","1","10","4","4418"
"item486","2","2","0","4419"
"item487","3","3","1","4420"
"item488","4","4","2","4421"
"item489","5","5","3","4422"
"item490","6","6","4","4423"
"item491","7","7","0","4424"
"item492","8","8","1","4425"
"item493","9","9","2","4426"
"item494","1","10","3","4427"
"item495","2","2","4","4428"
"item496","3","3","0","4429"
"item497","4","4","1","4430"
"item498","5","5","2","4431"
"item499","6","6","3","4432"
"item500","7","7","4","4433"
"item501","8","8","0","4434"
"item502","9","9","1","4435"
"item503","1","10","2","4436"
"item504","2","2","3","4437"
"item505","3","3","4","4438"
"item506","4","4","0","4439"
"item507","5","5","1","4440"
"item508","6","6","2","4441"
"item509","7","7","3","4442"
"item510","8","8","4","4443"
"item511","9","9","0","4444"
"item512","1","10","1","4445"
"item513","2","2","2","4446"
"item514","3","3","3","4447"
"item515","4","4","4","4448"
"item516","5","5","0","4449"
"item517","6","6","1","4450"
"item518","7","7","2","4451"
"item519","8","8","3","4452"
"item520","9","9","4","4453"
"item521","1","10","0","4454"
"item522","2","2","1","4455"
"item523","3","3","2","4456"
"item524","4","4","3","4457"
"item525","5","5","4","4458"
"item526","6","6","0","4459"
"item527","7","7","1","4460"
"item528","8","8","2","4461"
"item529","9","9","3","4462"
"item530","1","10","4","4463"
"item531","2","2","0","4464"
"item532","3","3","1","4465"
"item533","4","4","2","4466"
"item534","5","5","3","4467"
"item535","6","6","4","4468"
"item536","7","7","0","4469"
"item537","8","8","1","4470"
"item538","9","9","2","4471"
"item539","1","10","3","4472"
"item540","2","2","4","4473"
"item541","3","3","0","4474"
"item542","4","4","1","4475"
"item543","5","5","2","4476"
"item544","6","6","3","4477"
"item545","7","7","4","4478"
"item546","8","8","0","4479"
"item547","9","9","1","4480"
"item548","1","10","2","4481"
"item549","2","2","3","4482"
"item550","3","3","4","4483"
"item551","4","4","0","4484"
"item552","5","5","1","4485"
"item553","6","6","2","4486"
"item554","7","7","3","4487"
"item555","8","8","4","4488"
"item556","9","9","0","4489"
"item557","1","10","1","4490"
"item558","2","2","2","4491"
"item559","3","3","3","4492"
"item560","4","4","4","4493"
"item561","5","5","0","4494"
"item562","6","6","1","4495"
"item563","7","7","2","4496"
"item564","8","8","3","4497"
"item565","9","9","4","4498"
"item566","1","10","0","4499"
"item567","2","2","1","4500"
"item568","3","3","2","4501"
"item569","4","4","3","4502"
"item570","5","5","4","4503"
"item571","6","6","0","4504"
"item572","7","7","1","4505"
"item573","8","8","2","4506"
"item574","9","9","3","4507"
"item575","1","10","4","4508"
"item576","2","2","0","4509"
"item577","3","3","1","4510"
"item578","4","4","2","4511"
"item579","5","5","3","4512"
"item580","6","6","4","4513"
"item581","7","7","0","4514"
"item582","8","8","1","4515"
"item583","9","9","2","4516"
"item584","1","10","3","4517"
"item585","2","2","4","4518"
"item586","3","3","0","4519"
"item587","4","4","1","4520"
"item588","5","5","2","4521"
"item589","6","6","3","4522"
"item590","7","7","4","4523"
"item591","8","8","0","4524"
"item592","9","9","1","4525"
"item593","1","10","2","4526"
"item594","2","2","3","4527"
"item595","3","3","4","4528"
"item596","4","4","0","4529"
"item597","5","5","1","4530"
"item598","6","6","2","4531"
"item599","7","7","3","4532"
"item600","8","8","4","4533"
"item601","9","9","0","4534"
"item602","1","10","1","4535"
"item603","2","2","2","4536"
"item604","3","3","3","4537"
"item605","4","4","4","4538"
"item606","5","5","0","4539"
"item607","6","6","1","4540"
"item608","7","7","2","4541"
"item609","8","8","3","4542"
"item610","9","9","4","4543"
"item611","1","10","0","4544"
"item612","2","2","1","4545"
"item613","3","3","2","4546"
"item614","4","4","3","4547"
"item615","5","5","4","4548"
"item616","6","6","0","4549"
"item617","7","7","1","4550"
"item618","8","8","2","4551"
"item619","9","9","3","4552"
"item620","1","10","4","4553"
"item621","2","2","0","4554"
"item622","3","3","1","4555"
"item623","4","4","2","4556"
"item624","5","5","3","4557"
"item625","6","6","4","4558"
"item626","7","7","0","4559"
"item627","8","8","1","4560"
"item628","9","9","2","4561"
"item629","1","10","3","4562"
"item630","2","2","4","4563"
"item631","3","3","0","4564"
"item632","4","4","1","4565"
"item633","5","5","2","4566"
"item634","6","6","3","4567"
"item635","7","7","4","4568"
"item636","8","8","0","4569"
"item637","9","9","1","4570"
"item638","1","10","2","4571"
"item639","2","2","3","4572"
"item640","3","3","4","4573"
"item641","4","4","0","4574"
"item642","5","5","1","4575"
"item643","6","6","2","4576"
"item644","7","7","3","4577"
"item645","8","8","4","4578"
"item646","9","9","0","4579"
"item647","1","10","1","4580"
"item648","2","2","2","4581"
"item649","3","3","3","4582"
"item650","4","4","4","4583"
"item651","5","5","0","4584"
"item652","6","6","1","4585"
"item653","7","7","2","4586"
"item654","8","8","3","4587"
"item655","9","9","4","4588"
"item656","1","10","0","4589"
"item657","2","2","1","4590"
"item658","3","3","2","4591"
"item659","4","4","3","4592"
"item660","5","5","4","4593"
"item661","6","6","0","4594"
"item662","7","7","1","4595"
"item663","8","8","2","4596"
"item664","9","9","3","4597"
"item665","1","10","4","4598"
"item666","2","2","0","4599"
"item667","3","3","1","4600"
"item668","4","4","2","4601"
"item669","5","5","3","4602"
"item670","6","6","4","4603"
"item671","7","7","0","4604"
"item672","8","8","1","4605"
"item673","9","9","2","4606"
"item674","1","10","3","4607"
"item675","2","2","4","4608"
"item676","3","3","0","4609"
"item677","4","4","1","4610"
"item678","5","5","2","4611"
"item679","6","6","3","4612"
"item680","7","7","4","4613"
"item681","8","8","0","4614"
"item682","9","9","1","4615"
"item683","1","10","2","4616"
"item684","2","2","3","4617"
"item685","3","3","4","4618"
"item686","4","4","0","4619"
"item687","5","5","1","4620"
"item688","6","6","2","4621"
"item689","7","7","3","4622"
"item690","8","8","4","4623"
"item691","9","9","0","4624"
"item692","1","10","1","4625"
"item693","2","2","2","4626"
"item694","3","3","3","4627"
"item695","4","4","4","4628"
"item696","5","5","0","4629"
"item697","6","6","1","4630"
"item698","7","7","2","4631"
"item699","8","8","3","4632"
"item700","9","9","4","4633"
"item701","1","10","0","4634"
"item702","2","2","1","4635"
"item703","3","3","2","4636"
"item704","4","4","3","4637"
"item705","5","5","4","4638"
"item706","6","6","0","4639"
"item707","7","7","1","4640"
"item708","8","8","2","4641"
"item709","9","9","3","4642"
"item710","1","10","4","4643"
"item711","2","2","0","4644"
"item712","3","3","1","4645"
"item713","4","4","2","4646"
"item714","5","5","3","4647"
"item715","6","6","4","4648"
"item716","7","7","0","4649"
"item717","8","8","1","4650"
"item718","9","9","2","4651"
"item719","1","10","3","4652"
"item720","2","2","4","4653"
"item721","3","3","0","4654"
"item722","4","4","1","4655"
"item723","5","5","2","4656"
"item724","6","6","3","4657"
"item725","7","7","4","4658"
"item726","8","8","0","4659"
"item727","9","9","1","4660"
"item728","1","10","2","4661"
"item729","2","2","3","4662"
"item730","3","3","4","4663"
"item731","4","4","0","4664"
"item732","5","5","1","4665"
"item733","6","6","2","4666"
"item734","7","7","3","4667"
"item735","8","8","4","4668"
"item736","9","9","0","4669"
"item737","1","10","1","4670"
"item738","2","2","2","4671"
"item739","3","3","3","4672"
"item740","4","4","4","4673"
"item741","5","5","0","4674"
"item742","6","6","1","4675"
"item743","7","7","2","4676"
"item744","8","8","3","4677"
"item745","9","9","4","4678"
"item746","1","10","0","4679"
"item747","2","2","1","4680"
"item748","3","3","2","4681"
"item749","4","4","3","4682"
"item750","5","5","4","4683"
"item751","6","6","0","4684"
"item752","7","7","1","4685"
"item753","8","8","2","4686"
"item754","9","9","3","4687"
"item755","1","10","4","4688"
"item756","2","2","0","4689"
"item757","3","3","1","4690"
"item758","4","4","2","4691"
"item759","5","5","3","4692"
"item760","6","6","4","4693"
"item761","7","7","0","4694"
"item762","8","8","1","4695"
"item763","9","9","2","4696"
"item764","1","10","3","4697"
"item765","2","2","4","4698"
"item766","3","3","0","4699"
"item767","4","4","1","4700"
"item768","5","5","2","4701"
"item769","6","6","3","4702"
"item770","7","7","4","4703"
"item771","8","8","0","4704"
"item772","9","9","1","4705"
"item773","1","10","2","4706"
"item774","2","2","3","4707"
"item775","3","3","4","4708"
"item776","4","4","0","4709"
"item777","5","5","1","4710"
"item778","6","6","2","4711"
"item779","7","7","3","4712"
"item780","8","8","4","4713"
"item781","9","9","0","4714"
"item782","1","10","1","4715"
"item783","2","2","2","4716"
"item784","3","3","3","4717"
"item785","4","4","4","4718"
"item786","5","5","0","4719"
"item787","6","6","1","4720"
"item788","7","7","2","4721"
"item789","8","8","3","4722"
"item790","9","9","4","4723"
"item791","1","10","0","4724"
"item792","2","2","1","4725"
"item793","3","3","2","4726"
"item794","4","4","3","4727"
"item795","5","5","4","4728"
"item796","6","6","0","4729"
"item797","7","7","1","4730"
"item798","8","8","2","4731"
"item799","9","9","3","4732"
"item800","1","10","4","4733"
"item801","2","2","0","4734"
"item802","3","3","1","4735"
"item803","4","4","2","4736"
"item804","5","5","3","4737"
"item805","6","6","4","4738"
"item806","7","7","0","4739"
"item807","8","8","1","4740"
"item808","9","9","2","4741"
"item809","1","10","3","4742"
"item810","2","2","4","4743"
"item811","3","3","0","4744"
"item812","4","4","1","4745"
"item813","5","5","2","4746"
"item814","6","6","3","4747"
"item815","7","7","4","4748"
"item816","8","8","0","4749"
"item817","9","9","1","4750"
"item818","1","10","2","4751"
"item819","2","2","3","4752"
"item820","3","3","4","4753"
"item821","4","4","0","4754"
"item822","5","5","1","4755"
"item823","6","6","2","4756"
"item824","7","7","3","4757"
"item825","8","8","4","4758"
"item826","9","9","0","4759"
"item827","1","10","1","4760"
"item828","2","2","2","4761"
"item829","3","3","3","4762"
"item830","4","4","4","4763"
"item831","5","5","0","4764"
"item832","6","6","1","4765"
"item833","7","7","2","4766"
"item834","8","8","3","4767"
"item835","9","9","4","4768"
"item836","1","10","0","4769"
"item837","2","2","1","4770"
"item838","3","3","2","4771"
"item839","4","4","3","4772"
"item840","5","5","4","4773"
"item841","6","6","0","4774"
"item842","7","7","1","4775"
"item843","8","8","2","4776"
"item844","9","9","3","4777"
"item845","1","10","4","4778"
"item846","2","2","0","4779"
"item847","3","3","1","4780"
"item848","4","4","2","4781"
"item849","5","5","3","4782"
"item850","6","6","4","4783"
"item851","7","7","0","4784"
"item852","8","8","1","4785"
"item853","9","9","2","4786"
"item854","1","10","3","4787"
"item855","2","2","4","4788"
"item856","3","3","0","4789"
"item857","4","4","1","4790"
"item858","5","5","2","4791"
"item859","6","6","3","4792"
"item860","7","7","4","4793"
"item861","8","8","0","4794"
"item862","9","9","1","4795"
"item863","1","10","2","4796"
"item864","2","2","3","4797"
"item865","3","3","4","4798"
"item866","4","4","0","4799"
"item867","5","5","1","4800"
"item868","6","6","2","4801"
"item869","7","7","3","4802"
"item870","8","8","4","4803"
"item871","9","9","0","4804"
"item872","1","10","1","4805"
"item873","2","2","2","4806"
"item874","3","3","3","4807"
"item875","4","4","4","4808"
"item876","5","5","0","4809"
"item877","6","6","1","4810"
"item878","7","7","2","4811"
"item879","8","8","3","4812"
"item880","9","9","4","4813"
"item881","1","10","0","4814"
"item882","2","2","1","4815"
"item883","3","3","2","4816"
"item884","4","4","3","4817"
"item885","5","5","4","4818"
"item886","6","6","0","4819"
"item887","7","7","1","4820"
"item888","8","8","2","4821"
"item889","9","9","3","4822"
"item890","1","10","4","4823"
"item891","2","2","0","4824"
"item892","3","3","1","4825"
"item893","4","4","2","4826"
"item894","5","5","3","4827"
"item895","6","6","4","4828"
"item896","7","7","0","4829"
"item897","8","8","1","4830"
"item898","9","9","2","4831"
"item899","1","10","3","4832"
"item900","2","2","4","4833"
"item901","3","3","0","4834"
"item902","4","4","1","4835"
"item903","5","5","2","4836"
"item904","6","6","3","4837"
"item905","7","7","4","4838"
"item906","8","8","0","4839"
"item907","9","9","1","4840"
"item908","1","10","2","4841"
"item909","2","2","3","4842"
"item910","3","3","4","4843"
"item911","4","4","0","4844"
"item912","5","5","1","4845"
"item913","6","6","2","4846"
"item914","7","7","3","4847"
"item915","8","8","4","4848"
"item916","9","9","0","4849"
"item917","1","10","1","4850"
"item918","2","2","2","4851"
"item919","3","3","3","4852"
"item920","4","4","4","4853"
"item921","5","5","0","4854"
"item922","6","6","1","4855"
"item923","7","7","2","4856"
"item924","8","8","3","4857"
"item925","9","9","4","4858"
"item926","1","10","0","4859"
"item927","2","2","1","4860"
"item928","3","3","2","4861"
"item929","4","4","3","4862"
"item930","5","5","4","4863"
"item931","6","6","0","4864"
"item932","7","7","1","4865"
"item933","8","8","2","4866"
"item934","9","9","3","4867"
"item935","1","10","4","4868"
"item936","2","2","0","4869"
"item937","3","3","1","4870"
"item938","4","4","2","4871"
"item939","5","5","3","4872"
"item940","6","6","4","4873"
"item941","7","7","0","4874"
"item942","8","8","1","4875"
"item943","9","9","2","4876"
"item944","1","10","3","4877"
"item945","2","2","4","4878"
"item946","3","3","0","4879"
"item947","4","4","1","4880"
"item948","5","5","2","4881"
"item949","6","6","3","4882"
"item950","7","7","4","4883"
"item951","8","8","0","4884"
"item952","9","9","1","4885"
"item953","1","10","2","4886"
"item954","2","2","3","4887"
"item955","3","3","4","4888"
"item956","4","4","0","4889"
"item957","5","5","1","4890"
"item958","6","6","2","4891"
"item959","7","7","3","4892"
"item960","8","8","4","4893"
"item961","9","9","0","4894"
"item962","1","10","1","4895"
"item963","2","2","2","4896"
"item964","3","3","3","4897"
"item965","4","4","4","4898"
"item966","5","5","0","4899"
"item967","6","6","1","4900"
"item968","7","7","2","4901"
"item969","8","8","3","4902"
"item970","9","9","4","4903"
"item971","1","10","0","4904"
"item972","2","2","1","4905"
"item973","3","3","2","4906"
"item974","4","4","3","4907"
"item975","5","5","4","4908"
"item976","6","6","0","4909"
"item977","7","7","1","4910"
"item978","8","8","2","4911"
"item979","9","9","3","4912"
"item980","1","10","4","4913"
"item981","2","2","0","4914"
"item982","3","3","1","4915"
"item983","4","4","2","4916"
"item984","5","5","3","4917"
"item985","6","6","4","4918"
"item986","7","7","0","4919"
"item987","8","8","1","4920"
"item988","9","9","2","4921"
"item989","1","10","3","4922"
"item990","2","2","4","4923"
"item991","3","3","0","4924"
"item992","4","4","1","4925"
"item993","5","5","2","4926"
"item994","6","6","3","4927"
